LATITUDE,LONGITUDE,JD
29,-28,2460391.818912037
47,-33,2460391.822384259
64,-43,2460391.8258564817
80,-80,2460391.8293287037
75,-176,2460391.8328009257
58,163,2460391.836273148
40,155,2460391.83974537
22,150,2460391.8432175927
4,146,2460391.8466898147
-13,142,2460391.850162037
-31,138,2460391.853634259
-49,132,2460391.8571064817
-67,121,2460391.8605787037
-81,72,2460391.8640509257
-73,-13,2460391.867523148
-56,-30,2460391.87099537
-38,-37,2460391.8744675927
-20,-42,2460391.8779398147
-2,-46,2460391.881412037
15,-49,2460391.884884259
33,-54,2460391.8883564817
51,-60,2460391.8918287037
69,-73,2460391.8953009257
81,-135,2460391.898773148
71,150,2460391.90224537
53,135,2460391.9057175927
35,129,2460391.9091898147
17,124,2460391.912662037
0,120,2460391.916134259
-18,117,2460391.9196064817
-36,112,2460391.9230787037
-54,105,2460391.9265509257
-71,90,2460391.930023148
-81,13,2460391.93349537
-68,-45,2460391.9369675927
-51,-57,2460391.9404398147
-33,-63,2460391.943912037
-15,-67,2460391.947384259
2,-71,2460391.9508564817
20,-75,2460391.9543287037
38,-80,2460391.9578009257
56,-87,2460391.961273148
73,-104,2460391.96474537
81,166,2460391.9682175927
66,119,2460391.9716898147
48,109,2460391.975162037
30,103,2460391.978634259
12,99,2460391.9821064817
-5,95,2460391.9855787037
-23,91,2460391.9890509257
-41,86,2460391.992523148
-59,78,2460391.99599537
-75,57,2460391.9994675927
-79,-39,2460392.0029398147
-64,-74,2460392.006412037
-46,-84,2460392.009884259
-28,-89,2460392.0133564817
-10,-93,2460392.0168287037
7,-97,2460392.0203009257
25,-101,2460392.023773148
43,-106,2460392.02724537
61,-115,2460392.0307175927
77,-141,2460392.0341898147
78,119,2460392.037662037
61,91,2460392.041134259
44,82,2460392.0446064817
26,77,2460392.0480787037
7,73,2460392.0515509257
-10,69,2460392.055023148
-28,65,2460392.05849537
-46,60,2460392.0619675927
-63,50,2460392.0654398147
-79,16,2460392.068912037
-76,-80,2460392.072384259
-59,-102,2460392.0758564817
-41,-110,2460392.0793287037
-23,-115,2460392.0828009257
-5,-119,2460392.086273148
12,-123,2460392.08974537
30,-127,2460392.0932175927
48,-133,2460392.0966898147
65,-143,2460392.100162037
80,173,2460392.103634259
74,82,2460392.1071064817
57,63,2460392.1105787037
39,56,2460392.1140509257
21,51,2460392.117523148
3,47,2460392.12099537
-15,43,2460392.1244675927
-33,39,2460392.1279398147
-51,33,2460392.131412037
-68,21,2460392.134884259
-81,-35,2460392.1383564817
-72,-114,2460392.1418287037
-54,-129,2460392.1453009257
-37,-136,2460392.148773148
-19,-141,2460392.15224537
-1,-145,2460392.1557175927
17,-148,2460392.1591898147
35,-153,2460392.162662037
53,-159,2460392.166134259
70,-173,2460392.1696064817
82,115,2460392.1730787037
69,49,2460392.1765509257
52,36,2460392.180023148
34,30,2460392.18349537
16,25,2460392.1869675927
-1,22,2460392.1904398147
-20,18,2460392.193912037
-38,13,2460392.197384259
-55,6,2460392.2008564817
-72,-9,2460392.2043287037
-81,-94,2460392.2078009257
-67,-145,2460392.211273148
-50,-156,2460392.21474537
-32,-162,2460392.2182175927
-14,-166,2460392.2216898147
3,-170,2460392.225162037
22,-174,2460392.228634259
40,-179,2460392.2321064817
57,173,2460392.2355787037
74,153,2460392.2390509257
80,60,2460392.242523148
65,20,2460392.24599537
47,9,2460392.2494675927
29,4,2460392.2529398147
11,0,2460392.256412037
-6,-3,2460392.259884259
-24,-7,2460392.2633564817
-42,-12,2460392.2668287037
-60,-20,2460392.2703009257
-77,-45,2460392.273773148
-78,-143,2460392.27724537
-62,-174,2460392.2807175927
-45,176,2460392.2841898147
-27,171,2460392.287662037
-9,167,2460392.291134259
8,163,2460392.2946064817
26,159,2460392.2980787037
44,154,2460392.3015509257
62,145,2460392.305023148
78,115,2460392.30849537
77,16,2460392.3119675927
60,-8,2460392.3154398147
44,-16,2460392.3186574075
26,-21,2460392.3221296296
7,-25,2460392.325601852
-10,-29,2460392.329074074
-28,-33,2460392.332546296
-46,-38,2460392.3360185185
-64,-48,2460392.3394907406
-79,-82,2460392.342962963
-76,-179,2460392.346435185
-59,158,2460392.3499074075
-41,150,2460392.3533796296
-23,145,2460392.356851852
-5,141,2460392.360324074
12,138,2460392.363796296
30,133,2460392.3672685185
48,128,2460392.3707407406
66,117,2460392.374212963
80,74,2460392.377685185
74,-16,2460392.3811574075
57,-35,2460392.3846296296
39,-42,2460392.388101852
21,-47,2460392.391574074
2,-50,2460392.395046296
-15,-54,2460392.3985185185
-33,-59,2460392.4019907406
-51,-65,2460392.405462963
-68,-77,2460392.408935185
-81,-134,2460392.4124074075
-71,146,2460392.4158796296
-54,131,2460392.419351852
-37,124,2460392.422824074
-19,120,2460392.426296296
0,116,2460392.4297685185
17,112,2460392.4332407406
35,107,2460392.436712963
53,101,2460392.440185185
70,87,2460392.4436574075
82,16,2460392.4471296296
69,-48,2460392.450601852
52,-62,2460392.454074074
34,-68,2460392.457546296
16,-72,2460392.4610185185
-1,-76,2460392.4644907406
-20,-80,2460392.467962963
-38,-85,2460392.471435185
-55,-92,2460392.4749074075
-73,-108,2460392.4783796296
-81,166,2460392.481851852
-67,115,2460392.485324074
-50,104,2460392.488796296
-32,98,2460392.4922685185
-14,94,2460392.4957407406
3,90,2460392.499212963
22,86,2460392.502685185
40,81,2460392.5061574075
57,74,2460392.5096296296
74,54,2460392.513101852
80,-38,2460392.516574074
65,-78,2460392.520046296
47,-88,2460392.5235185185
29,-94,2460392.5269907406
11,-98,2460392.530462963
-6,-102,2460392.533935185
-24,-106,2460392.5374074075
-42,-111,2460392.5408796296
-60,-119,2460392.544351852
-77,-143,2460392.547824074
-78,117,2460392.551296296
-62,87,2460392.5547685185
-45,78,2460392.5582407406
-27,72,2460392.561712963
-9,68,2460392.565185185
8,64,2460392.5686574075
26,60,2460392.5721296296
44,55,2460392.575601852
62,46,2460392.579074074
78,16,2460392.582546296
77,-82,2460392.5860185185
60,-106,2460392.5894907406
42,-115,2460392.592962963
24,-120,2460392.596435185
6,-124,2460392.5999074075
-11,-128,2460392.6033796296
-29,-132,2460392.606851852
-47,-137,2460392.610324074
-65,-147,2460392.613796296
-80,172,2460392.6172685185
-75,78,2460392.6207407406
-58,59,2460392.624212963
-40,51,2460392.627685185
-22,46,2460392.6311574075
-4,43,2460392.6346296296
13,39,2460392.638101852
31,34,2460392.641574074
49,29,2460392.645046296
67,17,2460392.6485185185
81,-32,2460392.6519907406
72,-117,2460392.655462963
55,-134,2460392.658935185
37,-141,2460392.6624074075
19,-145,2460392.6658796296
1,-149,2460392.669351852
-16,-153,2460392.672824074
-34,-158,2460392.676296296
-52,-164,2460392.6797685185
-69,-177,2460392.6832407406
-82,117,2460392.686712963
-70,46,2460392.690185185
-53,32,2460392.6936574075
-35,25,2460392.6971296296
-17,21,2460392.700601852
0,17,2460392.704074074
18,13,2460392.707546296
36,8,2460392.7110185185
54,2,2460392.7144907406
71,-12,2460392.717962963
81,-91,2460392.721435185
68,-149,2460392.7249074075
51,-161,2460392.7283796296
33,-167,2460392.731851852
14,-171,2460392.735324074
-3,-175,2460392.738796296
-21,-179,2460392.7422685185
-39,175,2460392.7457407406
-57,168,2460392.749212963
-74,150,2460392.752685185
-80,59,2460392.7561574075
-66,15,2460392.7596296296
-48,5,2460392.763101852
-30,0,2460392.766574074
-12,-4,2460392.770046296
5,-8,2460392.7735185185
23,-12,2460392.7769907406
37,-16,2460392.77974537
55,-22,2460392.7832175926
72,-39,2460392.7866898146
81,-123,2460392.790162037
67,-175,2460392.793634259
